NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3478;1225/2020;warmińsko-mazurskie;28140 olsztyn;2814 olsztyński;Barczewo ;Biedowo;zagrożenia;53.8555;20.6432;32;17.10.2020;20.10.2020;29.10.2020;P/20/48898;IPT+;1;odstrzelony;samica - 24 m - 41 kg;;;;
3479;1226/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Tomaryny;zagrożenia;53.7284;20.2161;32;18.10.2020;20.10.2020;29.10.2020;P/20/48896;RT-PCR+;1;zabity w wypadku;samica - 5 m - 30 kg;1;;;
3480;1227/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Łęguty;zagrożenia;53.7550;20.1614;30;19.10.2020;21.10.2020;29.10.2020;P/20/48895;RT-PCR+;1;padły/padłe;samica - 6 m - 40 kg;1;;;
3481;1228/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Łęguty;zagrożenia;53.7547;20.1589;30;19.10.2020;21.10.2020;29.10.2020;P/20/48895;RT-PCR+;1;padły/padłe;samica - 8 m - 50 kg;1;;;
3482;1229/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Łęguty;zagrożenia;53.7547;20.1605;30;19.10.2020;21.10.2020;29.10.2020;P/20/48895;RT-PCR+;1;padły/padłe;samiec - 12 m - 80 kg;1;;;
3483;1230/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Łęguty;zagrożenia;53.7561;20.1780;30;20.10.2020;21.10.2020;29.10.2020;P/20/48895;RT-PCR+;1;padły/padłe;samica - 12 m - 80 kg;1;;;
3484;1231/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Gietrzwałd;Łęguty;zagrożenia;53.7558;20.1776;30;20.10.2020;21.10.2020;29.10.2020;P/20/48895;RT-PCR+;1;padły/padłe;samica - 13 m - 100 kg;1;;;
3485;1232/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7846;20.4411;32;18.10.2020;20.10.2020;29.10.2020;P/20/48897;RT-PCR+;1;padły/padłe;samica - 7 m - 50 kg;1;;;
3486;1233/2020;warmińsko-mazurskie;28100 Mrągowo;2810 mrągowski;Mrągowo;Kolonia Kosewo;objęty ograniczeniami;53.832092;21.42046;32;16.10.2020;19.10.2020;29.10.2020;P/20/48949;"RT-PCR+IPT+";1;odstrzelony;samiec - 12 m - 31 kg;;;;
3487;673;lubelskie;06010 Biała Podlaska;0601 bialski;Rokitno;Cieleśnica;objęty ograniczeniami;52.1561;23.3719;32;19.10.2020;20.10.2020;23.10.2020;P/20/47911;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;0;0;1;0
3488;674;lubelskie;06140 Puławy;0614 puławski;Kurów;Dęba;objęty ograniczeniami;51.4719;22.1494;32;19.10.2020;21.10.2020;26.10.2020;P/20/48322;RT-PCR+;1;padły/padłe;samiec - 18 m - 30 kg;1;0;0;0
3489;675;lubelskie;06010 Biała Podlaska;0601 bialski;Zalesie;Dobryń Kolonia;objęty ograniczeniami;52.0882;23.4798;32;28.10.2020;29.10.2020;02.11.2020;P/20/49473;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;0;1;0;0
3490;894;lubuskie;08110 Lubsko;0811 żarski;Przewóz;Potok;objęty ograniczeniami;51.4966;14.8538;32;18.10.2020;19.10.2020;23.10.2020;P/20/48143;RT-PCR+;1;odstrzelony;samica - 36 m - 55 kg;1;0;0;0
3491;895;lubuskie;08050 Ośno Lubuskie;0805 słubicki;Górzyca;Górzyca;objęty ograniczeniami;52.490845;14.706722;32;22.10.2020;26.10.2020;02.11.2020;P/20/49404;RT-PCR+;1;padły/padłe;1 samica - 4 m - 30 kg;1;0;0;0
3492;896;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.8955174;15.402544;32;23.10.2020;26.10.2020;02.11.2020;P/20/49403;RT-PCR+;1;padły/padłe;1. samica - 24 m - 60 kg;1;0;0;0
3493;897;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Krosno Odrzańskie;Skórzyn;zagrożenia;52.110227;15.022353;32;23.10.2020;26.10.2020;02.11.2020;P/20/49396-49402;RT-PCR+;9;padły/padłe;"samica/24 m-cy/60 kg  samica/36 m-cy/80 kg  samica/24 m-cy/40 kg samiec/24 m-cy/30 kg samiec/12 m-cy/20 kg samica/12 m-cy/20 kg samiec/12 m-cy/30 kg samica/60 m-cy/100kg nn/12m-cy/nn";8;0;0;1
3494;105;podlaskie;20110 Sokółka;2011 sokólski;Szudziałowo;Wierzchlesie;objęty ograniczeniami;53.3075;23.5217;32;27.10.2020;29.10.2020;04.11.2020;P/20/50008;IPT+;1;odstrzelony;samica - 30 kg, do 1 roku;0;0;0;0
3495;106;podlaskie;20110 Sokółka;2011 sokólski;Krynki;Krynki;objęty ograniczeniami;53.2598;23.7471;32;24.10.2020;26.10.2020;04.11.2020;P/20/50000;RT-PCR+;1;odstrzelony;samica - 20 kg, do 1 roku;0;0;0;0
3496;1234/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Małdyty;Szymonówko;zagrożenia;53.839675;19.798472;32;23.10.2020;27.10.2020;04.11.2020;P/20/50005;RT-PCR+;1;padły/padłe;1. samica - 48 m - 70 kg ;;;1;
3497;1235/2020;warmińsko-mazurskie;28130 Olecko;2813 olecki;Kowale Oleckie;Kucze;zagrożenia;54.187317;22.470228;32;22.10.2020;26.10.2020;04.11.2020;P/20/50001;RT-PCR+;1;odstrzelony;samiec - 12 m - 30 kg;;;;
3498;1236/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Stare Juchy;Grabnik;objęty ograniczeniami;53.851687;22.216201;32;25.10.2020;26.10.2020;04.11.2020;P/20/50002;IPT+;1;odstrzelony;"samiec - 24 m - 60 kg"
