NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości
3443;2221/160;mazowieckie;14060 Grójec;1406 grójecki;Błędów;Oleśnik;objęty ograniczeniami;51.750069;20.705718;32;20.10.2020;20.10.2020;27.10.2020;P/20/48345;RT-PCR+;1;padły/padłe;1. brak możliwości określenia, 6 m-cy , 18 kg;0;1;0;0
3444;869;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Letnica;zagrożenia;51.8982022;15.3090154;32;14.10.2020;16.10.2020;23.10.2020;P/20/48140;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślony,10kg;0;0;0;1
3445;870;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Piaski;zagrożenia;51.8644066;15.3608491;32;19.10.2020;21.10.2020;26.10.2020;P/20/48324;RT-PCR+;1;zabity w wypadku;1. samica - 24 m - 50kg;1;0;0;0
3446;871;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Bytnica;Dobrosułów;objęty ograniczeniami;52.208111;15.144028;32;16.10.2020;19.10.2020;23.10.2020;P/20/48230;RT-PCR+;1;padły/padłe;nn/18 m-cy/ nn kg;0;0;0;1
3447;872;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Bytnica;Drzewica;objęty ograniczeniami;52.167;15.100667;32;20.10.2020;21.10.2020;26.10.2020;P/20/48329;RT-PCR+;1;zabity w wypadku;samiec/12 m-cy/30 kg;1;0;0;0
3448;873;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Bytnica;Budachów Kolonia;objęty ograniczeniami;52.169139;15.053028;32;20.10.2020;21.10.2020;26.10.2020;P/20/48321;RT-PCR+;1;padły/padłe;"nn/12 m-cy/30kg";1;0;0;0
3449;874;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Bytnica;Kępiny;objęty ograniczeniami;52.173222;15.060417;32;20.10.2020;21.10.2020;26.10.2020;P/20/48328;RT-PCR+;1;padły/padłe;"samiec/48 m-cy/50 kg";0;0;0;1
3450;875;lubuskie;08020 Krosno Odrzańskie;0802 krośnieński (odrzański);Bytnica;Gryżyna;objęty ograniczeniami;52.207379;15.279885;32;20.10.2020;21.10.2020;26.10.2020;P/20/48323;RT-PCR+;1;padły/padłe;samiec/60 m-cy/140 kg;1;0;0;0
3451;876;lubuskie;08040 Nowa Sól;0804 nowosolski;Nowa Sól;Nowe Żabno;zagrożenia;51.7701215;15.7220008;32;14.10.2020;16.10.2020;23.10.2020;P/20/48138;RT-PCR+;1;padły/padłe;nie określ.płeć, 12mcy,25kg;0;1;0;0
3452;877;lubuskie;08040 Nowa Sól;0804 nowosolski;Kożuchów;Kożuchów;zagrożenia;51.75037;15.60085;32;14.10.2020;16.10.2020;23.10.2020;p/20/48139;RT-PCR+;1;padły/padłe;samiec -12mcy,30kg;0;0;1;0
3453;878;lubuskie;08040 Nowa Sól;0804 nowosolski;Otyń;Ługi;zagrożenia;51.8386;15.6251;32;12.10.2020;22.10.2020;26.10.2020;p/20/48298;ELISA+IPT+;1;odstrzelony;samica -48mcy,78kg;1;0;0;0
3454;879;lubuskie;08100 Żagań;0810 żagański;Brzeźnica;Jelenin ;objęty ograniczeniami;51.667494;15.431955;32;17.10.2020;19.10.2020;23.10.2020;P/20/48135;"RT-PCR+IPT+";1;odstrzelony;samiec - 24 m- ce, 20 kg;1;0;0;0
3455;880;lubuskie;08100 Żagań;0810 żagański;Wymiarki;Witoszyn;objęty ograniczeniami;51.51662;15.10483;32;19.10.2020;19.10.2020;26.10.2020;P/20/48334;RT-PCR+;1;zabity w wypadku;samica - 12 m - 10kg;0;1;0;0
3456;2222/161;mazowieckie;14030 Garwolin;1403 garwoliński;Trojanów;Podebłocie;zagrożenia;51.638111;21.741278;32;18.10.2020;22.10.2020;27.10.2020;P/20/49151;"RT-PCR+ELISA+IPT+";1;odstrzelony;1. samica - 24 m - 50kg;0;0;0;0
