NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;"Data zgłoszenia";Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2767;674;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Sycowice;objęty ograniczeniami;52.118731;15.333489;32;20.06.2020;20.06.2020;29.06.2020;P/20/27343;RT-PCR+;1;odstrzelony;1. samiec - 36 m - 51 kg;1;0;0;0;;
2768;675;lubuskie;08040 Nowa Sól;0804 nowosolski;NOWA SÓL;Przyborów;zagrożenia;51.799561;15.758611;32;15.06.2020;22.06.2020;29.06.2020;P/20/27299;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 40 kg;1;0;0;0;;
2769;565;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów :Lubelski;Zamiany;zagrożenia;50.487;23.3633;32;15.06.2020;17.06.2020;26.06.2020;P/20/27057;RT-PCR+;1;padły/padłe;samica - 6 m - 20 kg;1;0;0;0;;
2770;566;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Telatyn;Poturzyn;objęty ograniczeniami;50.5688;23.9472;32;20.06.2020;23.06.2020;26.06.2020;P/20/27058;RT-PCR+;1;padły/padłe;samiec - 24 m - 60kg;0;0;1;0;;
2771;567;lubelskie;06200 Zamość;0620 zamojski;Komarów-Osada;Swaryczów;objęty ograniczeniami;50.6385;23.5719;32;16.06.2020;23.06.2020;26.06.2020;P/20/27059 P/20/27060;RT-PCR+;3;padły/padłe;1. samica - 12 m - 40 kg 2. samica - 1 m-c, 7 kg, 3. nn, 36 m - 70 kg;2;0;1;0;;
2772;568;lubelskie;06030 Chełm;0603 chełmski;Dorohusk;Brzeźno;objęty ograniczeniami;51.1771;23.6301;32;23.06.2020;25.06.2020;29.06.2020;P/20/27330;ELISA+IPT+;1;odstrzelony;samiec - 36 m - 70 kg;0;0;0;0;;
2773;346;lubuskie;08090 Zielona Góra;0809 zielonogórski;Kargowa;Karszyn;objęty ograniczeniami;52.039027;15.90144;32;11.03.2020;12.03.2020;17.03.2020;P/20/12140;RT-PCR+;1;padły/padłe;1. samica - 24 m - 80kg;1;0;0;0;;
2774;347;lubuskie;08090 Zielona Góra;0809 zielonogórski;Sulechów;Klępsk;objęty ograniczeniami;52.082;15.733;32;11.03.2020;12.03.2020;17.03.2020;P/20/12138;RT-PCR+;1;padły/padłe;1.płeć nieokreślona, 36 m - 70kg;1;0;0;0;;
2775;348;lubuskie;08090 Zielona Góra;0809 zielonogórski;Sulechów;Górzykowo;objęty ograniczeniami;52.044323;15.635298;32;11.03.2020;12.03.2020;17.03.2020;P/20/12138;RT-PCR+;1;padły/padłe;1.samiec - 48 m - 100kg;0;1;0;0;;
2776;349;lubuskie;08090 Zielona Góra;0809 zielonogórski;Trzebiechów;Trzebiechów;objęty ograniczeniami;52.040019;15.738808;32;11.03.2020;12.03.2020;17.03.2020;P/20/12138;RT-PCR+;2;padły/padłe;"1. płeć nieokreślona, 24 m - 45kg 2.płeć nieokreslona, 12 m - 10kg";0;1;0;1;;
2777;350;lubuskie;08090 Zielona Góra;0809 zielonogórski;Kargowa;Szarki;objęty ograniczeniami;52.012082;15.9074732;32;11.03.2020;12.03.2020;17.03.2020;"P/20/12138 P/20/12143 P/20/12142 P/20/12141";RT-PCR+;6;padły/padłe;"1.płeć nieokreślona, wiek nieokreślony,1kg 2.płeć nieokreślona, 36 m - 45kg 3.płeć nieokreślona, 24 m - 40kg 4.samica - 24 m - 30kg 5.płeć nieokreślona, 24m - 40kg 6.płec nieokreślona, 36m - 80kg";0;3;0;3;;
2778;351;lubuskie;08090 Zielona Góra;0809 zielonogórski;Bojadła;Bojadła-Pólko;objęty ograniczeniami;51.965785;15.857905;32;11.03.2020;12.03.2020;17.03.2020;"P/20/12139 P/20/12138";RT-PCR+;3;padły/padłe;"1.samiec - 12 m - 35kg 2.płeć nieokreślona, 24 m - 40kg 3.płeć nieokreślona, 36 m - 75kg";1;1;1;0;;
2779;352;lubuskie;08090 Zielona Góra;0809 zielonogórski;Bojadła;Bojadła-Bełcze;objęty ograniczeniami;51.972941;15.867449;32;11.03.2020;12.03.2020;17.03.2020;P/20/12138;RT-PCR+;3;padły/padłe;"1. płeć nieokreślona, 18 m - 25kg 2.płeć nieokreślona, 36 m - 55kg 3.płeć nieokreślona, 24 m - 45kg";0;0;3;0;;
2780;984/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Prostki;Glinki;objęty ograniczeniami;53.687210;22.325036;32;22.06.2020;22.06.2020;02.07.2020;P/20/28016;IPT+;1;odstrzelony;"samica - 24 m - 50 kg";;
2781;985/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Prostki;Borki;objęty ograniczeniami;53.698060;22.300376;32;24.06.2020;25.06.2020;02.07.2020;P/20/28016;RT-PCR+;1;odstrzelony;"samiec - 12 m - 21 kg";;
2782;986/2020;warmińsko-mazurskie;28050 Ełk;2805 ełcki;Prostki;Taczki;objęty ograniczeniami;53.687348;22.265738;32;23.06.2020;25.06.2020;02.07.2020;P/20/28015;RT-PCR+;2;padły/padłe;"1. płeć nieokreślona, 24 m - 20 kg 2. płeć nieokreślona, 6 m - 5 kg"2;;
