NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3281;1171/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7525;20.5032;32;12.09.2020;15.09.2020;24.09.2020;P/20/42443;RT-PCR+;1;padły/padłe;samiec - 12 m - 60 kg;;;1;;
3282;1172/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7907;20.5218;32;12.09.2020;15.09.2020;24.09.2020;P/20/42443;RT-PCR+;1;padły/padłe;samica - 12 m - 60 kg;;;1;;
3283;1173/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7601;20.4995;32;12.09.2020;16.09.2020;24.09.2020;P/20/42443;RT-PCR+;1;padły/padłe;samiec - 24 m - 80 kg;1
3284;1174/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Purda;Klebark Wielki;zagrożenia;53.7443;20.6163;32;08.09.2020;15.09.2020;24.09.2020;P/20/42444;RT-PCR+;1;odstrzelony;samiec - 6 m - 16 kg;
3285;822;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.892252;15.3834769;32;11.09.2020;14.09.2020;18.09.2020;P/20/42662;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, wiek nieokreślony, 5kg;0;0;0;1;
3286;823;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Świdnica;zagrożenia;51.901333;15.380663;32;21.09.2020;23.09.2020;28.09.2020;P/20/43050;RT-PCR+;1;padły/padłe;1. samiec - 36 m - 60 kg;0;1;0;0;
3287;824;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Wilkanowo;zagrożenia;51.92191;15.42331;32;19.09.2020;21.09.2020;28.09.2020;P/20/43195;RT-PCR+;1;padły/padłe;1. samica - 24 m - 60 kg;1;0;0;0;
3288;825;lubuskie;08080 Świebodzin;0808 świebodziński;Skąpe;Darnawa;zagrożenia;52.148888;15.497777;32;22.09.2020;23.09.2020;28.09.2020;P/20/43212;RT-PCR+;1;padły/padłe;samica -36 m - 100 kg;0;0;1;0;
3289;826;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Świdnica;Grabowiec;zagrożenia;51.89777;15.2894;32;15.09.2020;24.09.2020;25.09.2020;P/20/42885;RT-PCR+;1;odstrzelony;1. samica - 24 m - 40 kg;1;0;0;0;
3290;827;lubuskie;08040 Nowa Sól;0804 nowosolski;Siedlisko;Zwierzyniec;objęty ograniczeniami;51.7983;15.8263;32;22.09.2020;23.09.2020;28.09.2020;P/20/43196;ELISA+IPT+;1;odstrzelony;samiec - 84m, 102kg;1;0;0;0;
3291;828;lubuskie;08040 Nowa Sól;0804 nowosolski;Nowe Miasteczko;Miłaków;zagrożenia;51.68184;15.77225;32;20.09.2020;21.09.2020;28.09.2020;P/20/43193;RT-PCR+;1;padły/padłe;samica - 24 mcy, 50kg;1;0;0;0;
3292;829;lubuskie;08040 Nowa Sól;0804 nowosolski;Otyń;Czasław ;zagrożenia;51.830633;15.616203;32;22.09.2020;23.09.2020;28.09.2020;P/20/43049;RT-PCR+;1;padły/padłe;samica - 24 mcy, 50 lkg;0;1;0;0;
