NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2270;561;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Trzebiechów;Borek;objęty ograniczeniami;52.015919;15.688535;32;27.04.2020;28.04.2020;30.04.2020;P/20/18977;RT-PCR+;3;padły/padłe;"1.płeć nieokreślona, 24 m - 10 kg 2.płeć nieokreślona, 24 m - 25 kg 3.płeć nieokreślona, 24 m - 35 kg";0;0;2;1;;
2271;562;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Zielona Góra;Zawada;zagrożenia;51.9946744;15.5773486;32;26.04.2020;30.04.2020;04.05.2020;P/20/19149;RT-PCR+;1;odstrzelony;1.samiec - 36 m - 65 kg;1;0;0;0;;
2272;563;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Czerwieńsk;Radomia;objęty ograniczeniami;51.966701;15.383699;32;24.04.2020;27.04.2020;04.05.2020;P/20/19090;RT-PCR+;1;padły/padłe;1.samica - 36 m - 60 kg;0;0;1;0;;
2273;564;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Bojadła;Bojadła;objęty ograniczeniami;51.962473;15.769487;32;25.04.2020;27.04.2020;04.05.2020;P/20/19090;RT-PCR+;1;padły/padłe;1.płeć nieokreślona, 24 m - 20 kg;0;0;1;0;;
2274;565;lubuskie;08090 Zielona Góra;0809 Zielonogórski;Bojadła;Głuszyca;objęty ograniczeniami;51.977259;15.900468;32;25.04.2020;27.04.2020;04.05.2020;P/20/19090;RT-PCR+;3;padły/padłe;"1.samica - 48 m - 80 kg 2.płeć nieokreślona, 24 m - 30 kg 3.płeć nieokreślona, 24 m - 35 kg";0;0;3;0;;
2275;566;lubuskie;08040 Nowa Sól;0804 nowosolski;OTYŃ;Niedoradz;zagrożenia;51.883696;15.676631;32;19.04.2020;27.04.2020;30.04.2020;P/20/19091;RT-PCR+;1;odstrzelony;samica -24 mc,41kg;1;0;0;0;;
2276;567;lubuskie;08040 Nowa Sól;0804 nowosolski;NOWA SÓL;Dąbrowno;zagrożenia;51.879133;15.929268;32;22.04.2020;28.04.2020;29.04.2020;P/20/18978;RT-PCR+;1;odstrzelony;samiec - 36mc,42kg;1;0;0;0;;
2277;814/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Godkowo;Klekotki;zagrożenia;54.045001;19.91213;30;17.04.2020;21.04.2020;30.04.2020;P/20/18845;RT-PCR+;1;padły/padłe;1. samica -18m - 30kg        ;;1
2278;815/2020;warmińsko-mazurskie;28040 Elbląg;2861 Elbląg;M. Elbląg;Zajazd;objęty ograniczeniami;54.20216743;19.431797;32;18.04.2020;21.04.2020;05.05.2020;P/20/19231;IPT+;1;odstrzelony;1. samica -18m - 50kg        ;;
2279;816/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Tolkmicko;Łęcze;objęty ograniczeniami;54.277804 ;19.464922;32;16.04.2020;21.04.2020;05.05.2020;P/20/19231;IPT+;1;odstrzelony;1. samica -30m - 50kg        ;;
2280;817/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Milejewo;Milejewo;objęty ograniczeniami;54.231616;19.50588;32;18.04.2020;21.04.2020;05.05.2020;P/20/19231;IPT+;1;odstrzelony;1. samiec -12 m - 42 kg        ;;
2281;568;lubuskie;08120 Sława;0812 wschowski;Sława;Jezioro Sławskie;objęty ograniczeniami;51.907756;16.002688;32;24.04.2020;27.04.2020;04.05.2020;P/20/19089;RT-PCR+;2;padły/padłe;1. NIEOKREŚLONA, 12 m -     40kg                                                                     2. SAMICA, 48 m - 140kg                                                                             ;0;0;2;0;;
2282;464;lubelskie;06060 Krasnystaw;0606 krasnostawski;Siennica Różana;Siennica Królewka Duża;zagrożenia;50.983853;23.261383;32;19.04.2020;22.04.2020;24.04.2020;P/20/18083;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 70 kg;0;0;0;0;;
