NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;
3111;619;lubelskie;06170 Świdnik;0617 świdnicki (lubelski);Rybczewica;Łączki;objęty ograniczeniami;50.9832;22.7959;32;24.08.2020;25.08.2020;28.08.2020;P/20/37332;RT-PCR+;1;padły/padłe;samica - 24 m - 50 kg;0;0;1;0;
3112;1112/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Zawroty;objęty ograniczeniami;53.858309;19.965455;30;19.08.2020;21.08.2020;28.08.2020;P/20/37436;RT-PCR+;2;padły/padłe;1.nieokreślona, 12 m - 35 kg  2.nieokreślona, 12 m - 35 kg;0;0;1;0;
3113;1113/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Małdyty;Wilamowo;objęty ograniczeniami;53.8829;19.7904;30;20.08.2020;21.08.2020;28.08.2020;P/20/37436;RT-PCR+;1;padły/padłe;1.nieokreślona, 24 m - 60 kg  ;1;0;0;0;
3114;1114/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Bożęcin;objęty ograniczeniami;53.868906;19.900385;32;17.08.2020;21.08.2020;28.08.2020;P/20/37437;RT-PCR+;1;odstrzelony;1.samica - 12 m - 10 kg  ;0;0;0;0;
3115;1115/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Bożęcin;objęty ograniczeniami;53.868906;19.900385;32;17.08.2020;21.08.2020;28.08.2020;P/20/37437;RT-PCR+;1;odstrzelony;1.samica - 12 m - 10 kg  ;0;0;0;0;
3116;1116/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Łączno;zagrożenia;53.944179;19.923542;32;18.08.2020;21.08.2020;28.08.2020;P/20/37438;RT-PCR+;1;odstrzelony;1.samica - 36 m - 60 kg  ;0;0;0;0;
3117;1117/2020;warmińsko-mazurskie;28150 Ostróda;2815 ostródzki;Morąg;Maliniak;zagrożenia;53.931631;19.962266;32;18.08.2020;21.08.2020;28.08.2020;P/20/37438;RT-PCR+;1;odstrzelony;1.samica - 24 m - 55 kg  ;0;0;0;0;
3118;1118/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7818;20.5465;32;18.08.2020;21.08.2020;28.08.2020;P/20/37434;RT-PCR+;1;padły/padłe;nieokreslona, 36 m - 150 kg;1
3119;1119/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7621;20.4862;32;18.08.2020;21.08.2020;28.08.2020;P/20/37434;RT-PCR+;1;padły/padłe;nieokreślona, 4 m - 25kg;1
3120;1120/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7864;20.5173;32;19.08.2020;21.08.2020;28.08.2020;P/20/37434;RT-PCR+;1;padły/padłe;samica - 36 m - 120 kg;1
3121;1121/2020;warmińsko-mazurskie;28140 Olsztyn;2862  Olsztyn;M. Olsztyn;Olsztyn;zagrożenia;53.7481;20.4770;32;19.08.2020;21.08.2020;28.08.2020;P/20/37434;RT-PCR+;1;padły/padłe;samiec - 12 m - 30 kg;1
3122;2210/150;mazowieckie;14140 Nowy Dwór Mazowiecki;1408 legionowski;Jabłonna;Jabłonna;objęty ograniczeniami;52.370156;20.91976;32;20.08.2020;21.08.2020;31.08.2020;P/20/37675;IPT+;1;odstrzelony;samica - 24 m - 52 kg;0;0;0;0;
3123;182;podkarpackie;18090 Lubaczów;1809 lubaczowski;Cieszanów;Kowalówka;objęty ograniczeniami;50.2857;23.1908;32;20.08.2020;25.08.2020;31.08.2020;P/20/37789;RT-PCR+;1;odstrzelony;1. samiec - 14 m - 50 kg;
3124;183;podkarpackie;18090 Lubaczów;1809 lubaczowski;Horyniec-Zdrój;Horyniec-Zdrój;objęty ograniczeniami;50.2076;23.3735;30;24.08.2020;25.08.2020;31.08.2020;P/20/37790;RT-PCR+;6;padły/padłe;"1. nn, 18 m - 50 kg 2. samica - 24 m - 70 kg 3. nn, 4 m - 10 kg 4. nn, 4 m - 10 kg 5. nn, 4 m - 10 kg 6. nn, 4 m - 10 kg";;;6;;
3125;2212/151;mazowieckie;14030 Garwolin;1403 garwoliński;Maciejowice;Pogorzelec;zagrożenia;51.737284;21.569554;32;28.08.2020;31.08.2020;02.09.2020;P/20/38210;ELISA+IPT+;1;odstrzelony;1.samica - 24 m - 68kg;0;0;0;0;
3126;1122/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Purda;Klebark Mały;zagrożenia;53.7670;20.5665;32;18.08.2020;21.08.2020;28.08.2020;P/20/37435;RT-PCR+;1;padły/padłe;nieokreślona, 36 m - 100 kg;;1;;;
3127;1123/2020;warmińsko-mazurskie;28040 Elbląg;2804 elbląski;Tolkmicko;Pogrodzie;objęty ograniczeniami;54.2890735;19.608677917;32;18.08.2020;25.08.2020;02.09.2020;P/20/38249;IPT+;1;odstrzelony; samiec - 36 m - 53 kg           ;
3128;1124/2020;warmińsko-mazurskie;28020 Braniewo;2802 braniewski;Lelkowo;Grabowiec;objęty ograniczeniami;54.368094; 20.237917;32;22.08.2020;25.08.2020;02.09.2020;P/20/38248;IPT+;1;odstrzelony;samica - 3 lata,70 kg;
3129;1125/2020;warmińsko-mazurskie;28010 Bartoszyce;2801 bartoszycki;Górowo Ił.;Skarbiec;objęty ograniczeniami;54.322336;20.326431;32;24.08.2020;27.08.2020;02.09.2020;P/20/38255;IPT+;1;odstrzelony;samica -3 lata,78 kg;
3130;1126/2020;warmińsko-mazurskie;28080 Kętrzyn;2808 kętrzyński;Korsze;Stawnica;objęty ograniczeniami;54.23187;21.11350;32;23.08.2020;24.08.2020;02.09.2020;P/20/38251;IPT+;1;odstrzelony;"samica - 36 m - 99 kg";
