NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć. wiek (w miesiącach). waga;+;++;+++;Kości;
2562;147;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Majdan Sieniawski;objęty ograniczeniami;50.286169;22.692919;32;25.05.2020;26.05.2020;02.06.2020;P/20/23331;RT-PCR+;1;odstrzelony;1. samica - 12 m - 50 kg;1;;;;
2563;148;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Majdan Sieniawski;objęty ograniczeniami;50.270611;22.790969;32;25.05.2020;26.05.2020;02.06.2020;P/20/23331;IPT+;1;odstrzelony;1. samiec - 24 m - 45 kg;1;;;;
2564;517;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Łaszczów;Nadolce;objęty ograniczeniami;50.5342778;23.7070833;32;20.05.2020;21.05.2020;27.05.2020;P/20/22530;RT-PCR+;1;padły/padłe;samica - 24 m - 60 kg;1;0;0;0;
2565;518;lubelskie;06180 Tomaszów Lubelski;0618 tomaszowski (lubelski);Tomaszów Lubelski;Ulów;zagrożenia;50.462178;23.321526;30;21.05.2020;21.05.2020;27.05.2020;P/20/22631;RT-PCR+;2;padły/padłe;1. samiec - 24 m - 65 kg 2. samica - 24 m - 60 kg;0;0;2;0;
2566;519;lubelskie;06020 Biłgoraj;0602 biłgorajski;Biszcza;Wóka Bilska;objęty ograniczeniami;50.450556;22.591389;32;19.05.2020;21.05.2020;25.05.2020;P/20/22279;RT-PCR+;1;padły/padłe;samiec - 18 m - 45 kg;0;0;1;0;
2567;520;lubelskie;06020 Biłgoraj;0602 biłgorajski;Biszcza;Wólka Bilska;objęty ograniczeniami;50.450278;22.591389;30;27.05.2020;28.05.2020;29.05.2020;P/20/22971;RT-PCR+;1;padły/padłe;samica - 36 m - 100 kg;0;0;1;0;
2568;521;lubelskie;06030 Chełm;0603 chełmski;Żmudź;Pławanice;objęty ograniczeniami;51.13003;23.667297;32;22.05.2020;25.02.2020;28.05.2020;P/20/22616;ELISA+IPT+;1;odstrzelony;samiec - 12 m - 45 kg;0;0;0;0;
2569;522;lubelskie;06160 Ryki;0616 rycki;Dęblin;Stawy;objęty ograniczeniami;51.593408;21.864557;32;27.05.2020;27.05.2020;29.05.2020;P/20/22914;RT-PCR+;1;padły/padłe;samiec - 24 m - 45 kg;1;0;0;0;
2570;523;lubelskie;06060 Krasnystaw;0606 krasnostawski;Kraśniczyn;Brzeziny;zagrożenia;50.95667;23.31138;32;21.05.2020;22.05.2020;27.05.2020;P/20/22475;RT-PCR+;1;padły/padłe;samica - 24 -ce, 45 kg;0;1;0;0;
2571;524;lubelskie;06200 Zamość;0620 zamojski;Skierbieszów;Zabytów;zagrożenia;50.878638;23.26966;32;10.05.2020;19.05.2020;03.06.2020;P/20/23431;ELISA+IPT+;1;odstrzelony;samiec - 24 m - 55 kg;0;0;0;0;
