NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
2038;494;lubuskie;08040 Nowa Sól;0804 nowosolski;NOWA SÓL;Lipiny;zagrożenia;51.8531;15.8261;32;04.04.2020;06.04.2020;14.04.2020;P/20/16795;RT-PCR+;1;odstrzelony;samica -54 m -80 kg;1;0;0;0;;
2039;495;lubuskie;08090 Zielona Góra;0809 zielonogórski;Zabór;Łaz;zagrożenia;51.94464;15.68071;32;04.04.2020;06.04.2020;14.04.2020;P/20/16804;RT-PCR+;1;padły/padłe;1. płeć nieokreślona,36 m - 60kg;0;0;0;1;;
2040;496;lubuskie;08090 Zielona Góra;0809 zielonogórski;Świdnica;Letnica;objęty ograniczeniami;51.902112;15.346726;32;04.04.2020;06.04.2020;14.04.2020;P/20/16797;RT-PCR+;1;padły/padłe;1. samica - 12 m - 30 kg;1;0;0;0;;
2041;497;lubuskie;08090 Zielona Góra;0809 zielonogórski;Sulechów;Górki Małe;objęty ograniczeniami;52.044313;15.578486;32;03.04.2020;06.04.2020;14.04.2020;P/20/16807;RT-PCR+;1;padły/padłe;1.samiec - 36 m - 80 kg;0;0;0;1;;
2042;498;lubuskie;08090 Zielona Góra;0809 zielonogórski;Trzebiechów;Borek;objęty ograniczeniami;52.025206;15.722485;32;03.04.2020;06.04.2020;14.04.2020;"P/20/16807,P/20/16806,P/20/16805";RT-PCR+;3;padły/padłe;"1. samica - 36 m - 80 kg,2.samica - 36- m - 80 kg,3.samiec - 36 m - 80 kg";0;2;1;0;;
2043;21;dolnośląskie;02030 Głogów;0203 głogowski;Kotla;Grochowice;objęty ograniczeniami;51.785;15.991111;32;06.04.2020;08.04.2020;16.04.2020;P/20/17092;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 48 m - 60 kg;0;0;0;1;;
2044;499;lubuskie;08090 Zielona Góra;0809 zielonogórski;Trzebiechów;Swarzynice;objęty ograniczeniami;52.008652;15.765388;32;09.04.2020;10.04.2020;17.04.2020;P/2017324;RT-PCR+;1;padły/padłe;1.samica - 36 m - 65 kg;0;1;0;0;;
2045;500;lubuskie;08090 Zielona Góra;0809 zielonogórski;Trzebiechów;Głęboka;objęty ograniczeniami;51.996949;15.678045;32;08.04.2020;09.04.2020;17.04.2020;P/20/17325;RT-PCR+;1;padły/padłe;1. płeć nieokreślona, 24 m - 40 kg;1;0;0;0;;
2046;501;lubuskie;08090 Zielona Góra;0809 zielonogórski;Zielona Góra;Krępa;zagrożenia;52.0083048;15.5349449;32;08.04.2020;09.04.2020;17.04.2020;P/20/17298;RT-PCR+;1;padły/padłe;1.samica - 36 m - 60 kg;0;1;0;0;;
2047;502;lubuskie;08090 Zielona Góra;0809 zielonogórski;Sulechów;Obłotne;objęty ograniczeniami;52.0874458;15.683843;32;09.04.2020;10.04.2020;17.04.2020;P/20/17323;RT-PCR+;1;padły/padłe;1.samiec - 48 m - 70 kg;0;1;0;0;;
2048;503;lubuskie;08090 Zielona Góra;0809 zielonogórski;Zabór;Zabór;zagrożenia;51.953653;15.726932;32;08.04.2020;09.04.2020;17.04.2020;"P/20/17297,P/20/17296,P/20/17295";RT-PCR+;3;padły/padłe;"1. samica -  60 m - 100kg,2.samiec - 12 m - 20 kg,3.samiec - 12 m - 20 kg";2;1;0;0;;
2049;736/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dobre Miasto;Cerkiewnik;zagrożenia;53.9177;20.3740;30;06.04.2020;08.04.2020;16.04.2020;P/20/17072;RT-PCR+;1;padły/padłe;samica - 6 m - 20 kg;1;
2050;737/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Dobre Miasto;Kłódka;zagrożenia;53.9261;20.4109;30;06.04.2020;08.04.2020;16.04.2020;P/20/17072;RT-PCR+;1;padły/padłe;samica - 12 m - 50 kg;1;
2051;738/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Jeziorany;Jeziorany;zagrożenia;53.9802;20.7613;30;06.04.2020;08.04.2020;16.04.2020;P/20/17072;RT-PCR+;1;padły/padłe;samica - 24 m - 60 kg;1;
2052;739/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Kolno;Lutry;zagrożenia;54.0226;20.9028;30;06.04.2020;08.04.2020;16.04.2020;P/20/17072;RT-PCR+;2;padły/padłe;"1. samica - 60 m - 100 kg,2. samica 36 m - 60 kg,";2;
2053;740/2020;warmińsko-mazurskie;28140 Olsztyn;2814 olsztyński;Barczewo ;Barczewko;zagrożenia;53.8461;20.5810;32;05.04.2020;07.04.2020;16.04.2020;P/20/17042;IPT+;1;odstrzelony;samiec - 24 m - 46 kg;;
2054;126;podkarpackie;18140 Przeworsk;1814 przeworski;Adamówka;Krasne;objęty ograniczeniami;50.253031;22.733169;32;03.04.2020;06.04.2020;14.04.2020;P/20/16764;RT-PCR+;2;padły/padłe;"1. nieokreślona, 3 m - 12 kg,2. samica - 12 m - 78 kg";2;0;0;0;;
2055;127;podkarpackie;18200 Tarnobrzeg;1864 Tarnobrzeg;M. Tarnobrzeg;Tarnobrzeg;objęty ograniczeniami;50.5555556;21.6977777;32;06.04.2020;07.04.2020;14.04.2020;P/20/16802;RT-PCR+;1;padły/padłe;1. samica - 36 m - 120 kg;1;0;0;0;;
