NR ADNS;Nr przypadku w województwie;Województwo;Kod jednostki TRACES;Powiat wg kodu TERYT;Gmina;Miejscowość (najbliższa lub Nr obwodu łowieckiego) - jeśli możliwe;Nazwa obszaru z DWK 2014/709;Szerokość;Długość;Sposób unieszkodliwienia zwłok;Data zgłoszenia;Data wysłania próbek;Data potwierdzenia;Nr sprawozdania z badań (ostatecznego);Rodzaj badania;Liczba dzików dodatnich;Przyczyna podejrzenia;Płeć - wiek (w miesiącach) - waga;+;++;+++;Kości;;
1095;64;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;wolsztyn;Rudno ;objęty ograniczeniami;52.003528;16.001583;32;27.02.2020;28.02.2020;09.03.2020;P/20/10556;RT-PCR+;1;padły/padłe;1. płeć nieokreślona. 24 m - 40 kg;0;1;0;0;;
1096;65;wielkopolskie;30290 Wolsztyn;3029 wolsztyński;wolsztyn;Świętno ;objęty ograniczeniami;52.016247;16.091303;32;29.02.2020;02.03.2020;09.03.2020;P/20/10556;RT-PCR+;7;padły/padłe;"1. płeć nieokreślona, 2. płeć nieokreślona, 3. samiec - 24 m - 70 kg, 4. płeć nieokreślona.10 m - 20 kg, 5. płeć nieokreślona., 6. samiec - 11 m - 30 kg, 7. samica - 10 m - 25 kg, ";0;3;4;0;;
1097;66;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Tarnowa;objęty ograniczeniami;52.095549;16.279674;32;26.02.2020;28.02.2020;09.03.2020;P/20/10556;RT-PCR+;2;padły/padłe;samica - ok.1 roku. 30 kg;0;0;2;0;;
1098;67;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Łąkie;objęty ograniczeniami;52.107974;16.229548;32;29.02.2020;02.03.2020;09.03.2020;P/20/10556;RT-PCR+;1;padły/padłe;samica - pow.1 roku. 30 kg;0;0;0;1;;
1099;68;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Adolfowo;objęty ograniczeniami;52.115296;16.218251;32;29.02.2020;02.03.2020;09.03.2020;P/20/10556;RT-PCR+;1;padły/padłe;samica - 3 lata. 50 kg;0;0;0;1;;
1100;69;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Adolfowo;objęty ograniczeniami;52.119247;16.225549;32;29.02.2020;02.03.2020;09.03.2020;P/20/10556;RT-PCR+;1;padły/padłe;samica - 4 lata. 80 kg;0;0;0;1;;
1101;70;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Rostarzewo;objęty ograniczeniami;52.129071;16.190656;32;29.02.2020;02.03.2020;09.03.2020;P/20/10556;RT-PCR+;1;padły/padłe;samiec - 1 rok. 25 kg;0;0;0;1;;
1102;71;wielkopolskie;30050 Grodzisk Wielkopolski;3005 grodziski (wielkopolski);Rakoniewice;Adolfowo;objęty ograniczeniami;52.117665;16.232959;32;29.02.2020;02.03.2020;09.03.2020;P/20/10556;RT-PCR+;1;padły/padłe;samica - 3 lata. 45 kg;0;0;0;1;;
1103;279;lubuskie;08040 Nowa Sól;0804 nowosolski;Kolsko;Jesiona;objęty ograniczeniami;51.979286;15.973195;32;27.02.2020;02.03.2020;06.03.2020;P/20/10370;RT-PCR+;1;padły/padłe;samiec - 60  m - 90 kg;0;0;1;0;;
1104;280;lubuskie;08040 Nowa Sól;0804 nowosolski;Kolsko;Kolsko;objęty ograniczeniami;51.946567;15.988161;32;26.02.2020;02.03.2020;06.03.2020;P/20/10370;RT-PCR+;3;padły/padłe;"płeć nieokreślona. 24 mc. 35 kg, płeć. wiek nieokreślone. 5kg, płeć. wiek nieokreślone. 15kg";0;1;0;2;;
